ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_7447_91186_0040_SWT_LS_5456_62043_0017_tChange_5945_ms_rstamp_6211_ms_flag_1_lid_CMU_13,266.0000,0.0195,3.7658,0.7515,2.6996,4.4458,2.8290,3.1285,2.0645,2.1298
1,CMU_13,LS_7447_91186_0041_SWT_LS_2843_152918_0100_tChange_5531_ms_rstamp_6206_ms_flag_1_lid_CMU_13,675.0000,1.1297,2.4461,1.2183,2.9766,1.2365,1.1142,0.0791,3.1232,1.1685
1,CMU_13,LS_7447_91187_0003_SWT_LS_374_180298_0037_tChange_5259_ms_rstamp_5754_ms_flag_1_lid_CMU_13,495.0000,1.9388,2.4632,3.5750,3.4631,2.2295,1.9289,0.9694,2.0884,1.0292
1,CMU_13,LS_7447_91187_0005_SWT_LS_7505_258958_0035_tChange_8872_ms_rstamp_9550_ms_flag_1_lid_CMU_13,678.0000,0.2348,1.2740,2.0164,2.8980,2.1268,2.6804,1.0417,2.4451,2.7896
1,CMU_13,LS_7447_91187_0007_SWT_LS_5456_62014_0012_tChange_6112_ms_rstamp_6588_ms_flag_1_lid_CMU_13,476.0000,2.1127,2.6834,3.8412,1.9902,4.1183,2.1618,1.1343,1.9427,1.0130
1,CMU_13,LS_7447_91187_0009_SWT_LS_7505_83618_0015_tChange_7703_ms_rstamp_8127_ms_flag_1_lid_CMU_13,424.0000,2.0442,2.7867,2.3884,2.8145,2.7017,1.4649,1.5794,2.5409,1.9623
1,CMU_13,LS_7447_91187_0010_SWT_LS_374_180299_0042_tChange_6411_ms_rstamp_6666_ms_flag_1_lid_CMU_13,255.0000,2.5797,2.6618,1.5854,2.1718,3.4173,2.2313,2.9495,1.3091,1.1951
1,CMU_13,LS_7447_91187_0012_SWT_LS_2843_152918_0016_tChange_5458_ms_rstamp_6094_ms_flag_1_lid_CMU_13,636.0000,0.9606,3.1315,0.8438,2.9479,0.9508,1.1817,0.5224,1.5974,1.3222
1,CMU_13,LS_7447_91187_0014_SWT_LS_2843_152918_0023_tChange_5310_ms_rstamp_5686_ms_flag_1_lid_CMU_13,376.0000,0.8680,3.7996,1.3225,3.5705,2.5033,2.9316,2.7151,2.2439,1.9375
1,CMU_13,LS_7447_91187_0021_SWT_LS_374_180299_0004_tChange_5812_ms_rstamp_6228_ms_flag_1_lid_CMU_13,416.0000,2.5869,2.0764,2.1325,1.8671,1.7966,1.3208,0.7442,1.4739,1.2963
